NR_1;KOEN;FOEDELSEAAR;INVAANARE;DRAGNING;SEXUELLT_UMG1;SEXUELLT_UMG2;SEXUELL_INRIKTN;TALADE1;TALADE2;INRIKTNING;AALDER_SEXUELL_INRIKTN1;AALDER_SEXUELL_INRIKTN2;OENSKAN;SKAM;ENSAM;TRAEFFA;LAERDE_KAENNA1;LAERDE_KAENNA2;TRAEFFA_HOMO_BI;KONTAKT1;KONTAKT2;KONTAKT3;KONTAKT4;KONTAKT5;ORGANISATION;FOERHAALANDE_SAMMA_KOEN;VILJA_HA;TIDIGARE_FOERHAALANDE;SAMBO_KVINNA;SAMBO_MAN;TEKNA_HYRESKONTRAKT;VAEGRATS_HYRESKONTRAKT1;VAEGRATS_HYRESKONTRAKT2;HETEROSEXUELLA_BEKANTA;TALAT_OM;BEKANTAS_REAKTION1;BEKANTAS_REAKTION2;BEKANTAS_REAKTION3;BEKANTAS_REAKTION4;BEKANTAS_REAKTION5;BEKANTAS_REAKTION6;BEKANTAS_REAKTION7;BEKANTAS_REAKTION8;BEKANTAS_REAKTION9;BEKANTAS_REAKTION10;BEKANTAS_REAKTION11;BEKANTAS_REAKTION12;BEKANTAS_REAKTION13;FOERVAENTAD_REAKTION1;FOERVAENTAD_REAKTION2;FOERVAENTAD_REAKTION3;FOERVAENTAD_REAKTION4;FOERVAENTAD_REAKTION5;FOERVAENTAD_REAKTION6;FOERVAENTAD_REAKTION7;FOERVAENTAD_REAKTION8;FOERVAENTAD_REAKTION9;FOERVAENTAD_REAKTION10;FOERVAENTAD_REAKTION11;FOERVAENTAD_REAKTION12;FOERVAENTAD_REAKTION13;FOERVAENTAD_REAKTION14;SYSSELSAETTNING1;YRKE;FUNKTION;UTBILDNING;ARBETSKAMRATER;ARBETSKAMRAT_BEMOETANDE1;ARBETSKAMRAT_BEMOETANDE2;ARBETSKAMRAT_BEMOETANDE3;ARBETSKAMRAT_BEMOETANDE4;ARBETSKAMRAT_BEMOETANDE5;ARB_KAMRAT_OVAENLIGT;DISKRIMINERING1;DISKRIMINERING2;DISKRIMINERING3;DISKRIMINERING4;DISKRIMINERING5;DISKRIMINERING6;DISKRIMINERING_AAR;DISKRIMINERING_ARBPLATS;KOENSSJUKDOM1;KOENSSJUKDOM2;PSYK1;PSYK2;PSYK3_1;PSYK3_2;PSYK3_3;PSYK3_4;PSYK3_5;PSYK3_6;HJAELP;NEDSTAEMD1;NEDSTAEMD2
455;Man;63;40000-150000 invånare;9;Ja;15;99;Ja;16;Homosexuell;Jag är osäker på min sexuella läggning;;Nej;Ja;Nej, inte nuförtiden;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;14;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Nej;Ja;Nej;Nej;Nej;Ja;Ja;;Ja;Nej;Nej;Nej;Nej;;De flesta vet eller förstår det;Ja, för flera bakanta;;;X;X;X;;;;;;;;;;;;;;;;;;;;;X;;Förvärvsarbe;Restaurang och hotell;Framgår inte, inget svar;framgår inte, inget svar;De flesta vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Ja, någon/några har varit ovänliga eller fientliga och ja, någon/några har undvikit kontakt med mig;Jag har aldrig förvärvsarbetet; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Ja, jag har känt mig nedstämd (deprimerad);Nej
456;Kvinna;31;Jag bor på landsbygden;14;Ja;40;20;Ja;30;Homosexuell;Ja;20;Ja, det har jag gjort men jag önskar det inte nu;Ja;Ja, det gör jag då och då;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;40;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Nej;Nej;Nej;Nej;Ja;;Ja;Nej;Nej;Nej;Inget svar;;Någon enstaka vet eller förstår det;Ja, för en bekant;;;X;;;;;X;;;;;;;;;;;;;;;;;;X;;Förvärvsarbe;Förvaltning, kontor, bank m.m.;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Jag vet inte om någon förstår det;Ja;;;X;;Ingen känner till min sexuella inriktning;Inget svar; ; ; ; ; ;;;Nej;;Ja, en psykiater;Ja;;;;;;X;Nej;Ja, jag har känt mig nedstämd (deprimerad);Ja
457;Man;39;10000-40000 invånare;22;Ja;22;20;Ja;22;Homosexuell;Ja;22;Nej;Nej;Ja, men bara vid enstaka tillfällen;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;22;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Ja;Ja;Ja;Ja;Ja;;Ja;Nej;Ja, jag har tidigare sammanbott med en man (män);Nej;Nej;;Alla vet eller förstår det;Ja, för flera bakanta;;;X;X;;X;;;;;;;; ; ; ; ; ; ; ; ; ; ; ; ; ;Inget svar;Förvärvsarbe;Poliser, väktare, militärer;Ingen arbetsledande funktion;Eftergymnasial utbildning (universitet osv);Alla vet eller förstår det;Alla känner till min sexuella inriktning; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Ja;Nej;Nej;;;;;;;;;Nej;
458;Man;59;40000-150000 invånare;12;Ja;14;13;Ja;13;Homosexuell;Ja;14;Nej;Nej;Ja, det gör jag då och då;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;12;Det är svårt att få tillfälle att lära känna homo/bisexuella personer;Nej;Ja;Ja;Ja;Nej;Nej;Ja;;Ja;Nej;Ja, jag sammanbor nu med en man;Nej;Nej;;De flesta vet eller förstår det;Ja, för flera bakanta;;;X;X;;;;X;;;;X;;;;X;X;;X;;X;;;;X;;;Studerande;;;;De flesta vet eller förstår det;Ja;;;X;;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Jag har diskriminerats;;;;;X;79;Har svarat i fritextfältet;Ja;Nej;Ja, en psykolog;;X;;;;;;;Ja, jag har känt mig nedstämd (deprimerad);Ja
459;Man;55;40000-150000 invånare;13;Ja;17;15;Ja;18;Bisexuell;Ja;15;Ja, det har jag gjort men jag önskar det inte nu;Ja;Ja, men bara vid enstaka tillfällen;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;19;Det är svårt att få tillfälle att lära känna homo/bisexuella personer;Nej;Ja;Ja;Nej;Nej;Nej;Nej;Ja;Ja;Ja, jag har tidigare sammanbott med en kvinna (kvinnor);Nej;Nej;Nej;;Flera vet eller förstår det;Ja, för flera bakanta;;;;X;;;;;;;;;;;;;;;X;;;;;;;;;Studerande;;;;Flera vet eller förstår det;Ja;X;;;;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Ja;Nej;Nej;;;;;;;;;Inget svar;
460;Man;33;Fler än 150000 invånare;14;Ja;17;24;Ja;27;Homosexuell;Ja;25;Nej;Ja;Nej, inte nuförtiden;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;30;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Nej;Nej;Ja;Ja;Nej;Nej;Nej;Ja;Ja;Nej;Nej;Nej;Nej;;Flera vet eller förstår det;Ja, för flera bakanta;;;;;;;;;;X;;;;;;;;;;;;;X;;;;;Förvärvsarbe;Förvaltning, kontor, bank m.m.;Arbetsledande funktion;Eftergymnasial utbildning (universitet osv);Någon enstaka vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Ja;Nej;Nej;;;;;;;;;Ja, jag har känt mig nedstämd (deprimerad);Nej
461;Man;54;Fler än 150000 invånare;13;Ja;23;14;Ja;22;Bisexuell;Ja;14;Ja, jag önskar nu att jag vore (helt) heterosexuell;Ja;Ja, men bara vid enstaka tillfällen;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;23;Det är svårt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Nej;Nej;Nej;Nej;Nej;Ja;Ja;Ja, jag har tidigare sammanbott med en kvinna (kvinnor);Nej;Nej;Nej;;Flera vet eller förstår det;Ja, för flera bakanta;;;X;;X;X;;;;;;;;;X;;;X;X;;X;;;;;;;Förvärvsarbe;Journalistik, litterär verksamhet;Ingen arbetsledande funktion;Eftergymnasial utbildning (universitet osv);Ingen arbetskamrat (studiekamrat) vet eller förstår det;Ja;X;;;;Ingen känner till min sexuella inriktning;Nej; ; ; ; ; ;;;Ja;Ja;Ja, en psykolog;Ja;;;;;X;;Ja;Ja, jag har känt mig nedstämd (deprimerad);Ja
462;Man;56;40000-150000 invånare;10;Ja;11;10;Inget svar;0;Homosexuell;Ja;16;Nej;Nej;Ja, det gör jag då och då;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;14;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Ja;Ja;Ja;Nej;Nej;Ja;Inget svar;Nej;Nej;Nej;Ja;78;Flera vet eller förstår det;Ja, för flera bakanta;;;;X;;X;X;;;;;;;;;;;;;;;;X;;;;;Studerande;;;;Flera vet eller förstår det;Ja;X;;;;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Ja, en psykiater;Nej;;X;;;;;"Ja, ""fick frisedel"" o liknande";Ja, jag har känt mig nedstämd (deprimerad);Nej
463;Man;48;Fler än 150000 invånare;15;Ja;16;15;Ja;17;Homosexuell;Ja;16;Nej;Nej;Nej, det har jag aldrig gjort;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;17;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Ja;Ja;Ja;Ja;Ja;;Nej;Nej;Ja, jag sammanbor nu med en man;Ja;Nej;;De flesta vet eller förstår det;Ja, för flera bakanta;;;X;;;;;;;;;;;X;;;;;;;;;;;;;;Förvärvsarbe;Försäljning;Ingen arbetsledande funktion;framgår inte, inget svar;De flesta vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Nej;
464;Man;44;Fler än 150000 invånare;14;Ja;14;24;Ja;23;Homosexuell;Ja;26;Ja, jag önskar nu att jag vore (helt) heterosexuell;Ja;Ja, det har jag alltid gjort;Jag träffar homo/bisexuella vänner mycket sällan;Ja;26;Det är den största svårigheten man har som homo/bisexuell;Ja;Ja;Ja;Ja;Nej;Nej;Nej;Ja;Nej;Nej;Nej;Nej;Nej;;Flera vet eller förstår det;Ja, för flera bakanta;;;X;X;X;X;X;;;;;;;;;;;X;;;X;;;;;;;Förvärvsarbe;Undervisning, forskning;Arbetsledande funktion;Eftergymnasial utbildning (universitet osv);Någon enstaka vet eller förstår det;Ja;X;;X;;Inget svar;Nej; ; ; ; ; ;;;Ja;Nej;Ja, en psykiater;Ja;;;;;;;Nej;Ja, jag har känt mig nedstämd (deprimerad) samt varit ängslig och orolig;Ja
465;Man;59;Jag bor på landsbygden;12;Ja;13;13;Ja;16;Homosexuell;Ja;16;Ja, det har jag gjort men jag önskar det inte nu;Nej;Nej, inte nuförtiden;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;16;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Ja;Nej;Nej;Nej;Nej;Ja;Ja;Nej;Ja, jag har tidigare sammanbott med en man (män);Nej;Nej;;Flera vet eller förstår det;Ja, för flera bakanta;;;X;X;;;;;;;;;;;;;;;;;;;X;;;;;Förvärvsarbe;Hälso-, sjukvård, socialvård;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Flera vet eller förstår det;Ja;X;;;;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Ja, en psykolog;Nej;;X;;;;;Ja;Ja, jag har känt mig nedstämd (deprimerad);Nej
466;Man;26;10000-40000 invånare;99;Ja;25;20;Jag har aldrig haft talat med någon om min sexuella läggning;0;Bisexuell;Jag är osäker på min sexuella läggning;;Inget svar;Ja;Ja, det har jag alltid gjort;Jag träffar homo/bisexuella vänner mycket sällan;Ja;30;Det är den största svårigheten man har som homo/bisexuell;Ja;Nej;Nej;Ja;Nej;Nej;Nej;Nej;Nej;Nej;Nej;Nej;Nej;;Ingen av mina heterosexuella bekanta vet eller förstår det;Nej; ; ; ; ; ; ; ; ; ; ; ; ;Inget svar;;;;;;;;;;;;;X;;Förvärvsarbe;Transport- och lagerarbete;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Jag vet inte om någon förstår det;Inget svar; ; ; ; ;Inget svar;Inget svar; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Ja, jag har varit ängslig och orolig;
467;Man;42;Jag bor på landsbygden;12;Ja;12;14;Jag har aldrig haft talat med någon om min sexuella läggning;0;Homosexuell;Ja;14;Nej;Nej;Nej, det har jag aldrig gjort;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;12;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Ja;Ja;Ja;Nej;Ja;;Ja;Ja, jag har tidigare sammanbott med en kvinna (kvinnor);Ja, jag sammanbor nu med en man;Ja;Nej;;Jag vet inte om någon förstår det;Nej; ; ; ; ; ; ; ; ; ; ; ; ;Inget svar;;;;;;;;;;X;;;;;Förvärvsarbe;Hälso-, sjukvård, socialvård;Arbetsledande funktion;Eftergymnasial utbildning (universitet osv);Jag vet inte om någon förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Ingen känner till min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Nej;
468;Man;49;Fler än 150000 invånare;14;Ja;24;16;Ja;24;Homosexuell;Ja;16;Nej;Nej;Nej, inte nuförtiden;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;24;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Nej;Nej;Nej;Ja;Ja;;Ja;Nej;Ja, jag sammanbor nu med en man;Nej;Nej;;De flesta vet eller förstår det;Ja, för flera bakanta;;X;X;X;;X;;X;X;;;;;;;;;;;;X;;;;;X;;Förvärvsarbe;Förvaltning, kontor, bank m.m.;Ingen arbetsledande funktion;Eftergymnasial utbildning (universitet osv);Alla vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Ja;Nej;Nej;;;;;;;;;Ja, jag har känt mig nedstämd (deprimerad);Ja
469;Man;56;Fler än 150000 invånare;5;Ja;13;14;Ja;18;Homosexuell;Ja;15;Nej;Nej;Ja, men bara vid enstaka tillfällen;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;18;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Ja;Ja;Ja;Ja;Ja;;Ja;Nej;Ja, jag sammanbor nu med en man;Nej;Nej;;Flera vet eller förstår det;Ja, för flera bakanta;;X;;;;;;;;;;;;;X;;;;;;;;;;;;;Studerande;;;;Flera vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Ja;Nej;Ja, en psykiater;Ja;;X;;;;;Ja;Ja, jag har känt mig nedstämd (deprimerad);Nej
470;Man;56;Fler än 150000 invånare;13;Ja;16;17;Ja;20;Homosexuell;Ja;20;Ja, det har jag gjort men jag önskar det inte nu;Ja;Nej, inte nuförtiden;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;20;Det är den största svårigheten man har som homo/bisexuell;Ja;Ja;Ja;Ja;Ja;Ja;Ja;;Ja;Nej;Ja, jag sammanbor nu med en man;Nej;Inget svar;;De flesta vet eller förstår det;Ja, för flera bakanta;;;X;X;;;;;;;;;;;X;X;;;;;;;;;;;;Förvärvsarbe;Hälso-, sjukvård, socialvård;Ingen arbetsledande funktion;Eftergymnasial utbildning (universitet osv);Någon enstaka vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Ja;Nej;Ja, en psykolog;Nej;X;;;;;;Ja;Ja, jag har känt mig nedstämd (deprimerad);Ja
471;Man;46;Fler än 150000 invånare;14;Ja;15;15;Ja;17;Homosexuell;Ja;15;Ja, det har jag gjort men jag önskar det inte nu;Nej;Ja, men bara vid enstaka tillfällen;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;16;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Ja;Ja;Ja;Ja;Ja;;Ja;Nej;Ja, jag har tidigare sammanbott med en man (män);Nej;Nej;;De flesta vet eller förstår det;Ja, för flera bakanta;;;X;;;;;;;;;;;;X;;;;;;;;;;;;;Förvärvsarbe;Byggnadsverksamhet;Framgår inte, inget svar;Eftergymnasial utbildning (universitet osv);Någon enstaka vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Ja;Nej;Ja, en psykolog;Nej;;X;;;;;Av någon eller några men inte av andra;Ja, jag har känt mig nedstämd (deprimerad) samt varit ängslig och orolig;Ja
472;Man;51;40000-150000 invånare;18;Ja;21;16;Ja;28;Homosexuell;Ja;26;Nej;Nej;Nej, inte nuförtiden;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;25;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Nej;Ja;Ja;Ja;Nej;Ja;Nej;Ja;Nej;Ja, jag har tidigare sammanbott med en kvinna (kvinnor);Inget svar;Nej;Inget svar;;Jag vet inte om någon förstår det;Ja, för en bekant;;;;;;;;;;;;;Reaktion som är både positiv och negativ;;;;;;;;;;;;;X;;Förvärvsarbe;Hälso-, sjukvård, socialvård;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Jag vet inte om någon förstår det;Ja;;;X;;Ingen känner till min sexuella inriktning;Nej; ; ; ; ; ;;;Ja;Nej;Nej;;;;;;;;;Nej;
473;Man;49;40000-150000 invånare;12;Ja;19;15;Ja;19;Jag är osäker på min sexuella inriktning;Ja;27;Ja, jag önskar nu att jag vore (helt) heterosexuell;Ja;Ja, men bara vid enstaka tillfällen;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;21;Det är svårt att få tillfälle att lära känna homo/bisexuella personer;Nej;Ja;Ja;Ja;Nej;Nej;Nej;Nej;Ja;Ja, jag har tidigare sammanbott med en kvinna (kvinnor);Ja, jag sammanbor nu med en man;Nej;Nej;;Jag vet inte om någon förstår det;Ja, för flera bakanta;;X;X;X;;X;;;;;;;;;;;;;;;;;;;;X;;Förvärvsarbe;Förvaltning, kontor, bank m.m.;Arbetsledande funktion;Eftergymnasial utbildning (universitet osv);Någon enstaka vet eller förstår det;Ja;X;;X;;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Ja;Ja;Ja, en psykiater;Ja;;X;;X;;;Ja;Ja, jag har känt mig nedstämd (deprimerad) samt varit ängslig och orolig;Ja
474;Man;38;Fler än 150000 invånare;15;Ja;14;21;Ja;26;Homosexuell;Ja;15;Nej;Nej;Ja, men bara vid enstaka tillfällen;Jag träffar homo/bisexuella vänner mycket sällan;Ja;24;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Nej;Nej;Ja;Nej;Nej;Nej;Ja;;Nej;Nej;Ja, jag sammanbor nu med en man;Ja;Nej;;De flesta vet eller förstår det;Ja, för flera bakanta;;X;;;;;;;;;;;;;;X;;;;;;;;;;;;Förvärvsarbe;Förvaltning, kontor, bank m.m.;Ingen arbetsledande funktion;Eftergymnasial utbildning (universitet osv);Alla vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Nej;
475;Man;50;40000-150000 invånare;14;Ja;21;20;Ja;21;Homosexuell;Ja;21;Nej;Nej;Nej, inte nuförtiden;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;21;Det är svårt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Ja;Nej;Nej;Ja;Ja;;Nej;Nej;Ja, jag sammanbor nu med en man;Nej;Nej;;Någon enstaka vet eller förstår det;Ja, för flera bakanta;;X;X;X;;;;;;;;X;;;;X;;;X;;;;;;;;;Förvärvsarbe;Religiös verksamhet;Framgår inte, inget svar;Eftergymnasial utbildning (universitet osv);Någon enstaka vet eller förstår det;Ja;X;;;;Ja, någon/några har undvikit kontakt med mig;Nej; ; ; ; ; ;;;Ja;Nej;Ja, en psykolog;Ja;;X;;;;;Ja;Ja, jag har känt mig nedstämd (deprimerad);
476;Man;37;Fler än 150000 invånare;18;Ja;19;25;Ja;30;Homosexuell;Ja;25;Nej;Ja;Nej, inte nuförtiden;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;25;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Nej;Ja;Ja;Ja;Nej;Ja;Nej;Ja;Ja;Nej;Ja, jag har tidigare sammanbott med en man (män);Nej;Nej;;Flera vet eller förstår det;Ja, för flera bakanta;;;X;;;;;X;;;;X;;;;;;;;;X;;;;;;;Förvärvsarbe;Förvaltning, kontor, bank m.m.;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Någon enstaka vet eller förstår det;Ja;;;X;;Ja, någon/några har undvikit kontakt med mig;Jag har diskriminerats;;;;;X;73;Har svarat i fritextfältet;Ja;Nej;Nej;;;;;;;;;Ja, jag har känt mig nedstämd (deprimerad);Ja
477;Man;56;10000-40000 invånare;16;Ja;13;15;Ja;17;Homosexuell;Ja;17;Ja, det har jag gjort men jag önskar det inte nu;Ja;Ja, det gör jag då och då;Jag träffar homo/bisexuella vänner mycket sällan;Ja;14;Det är svårt att få tillfälle att lära känna homo/bisexuella personer;Nej;Ja;Ja;Ja;Nej;Ja;Ja;;Ja;Ja, jag har tidigare sammanbott med en kvinna (kvinnor);Ja, jag har tidigare sammanbott med en man (män);Ja;Ja;77;Flera vet eller förstår det;Ja, för flera bakanta;;X;X;X;X;;;;;;;;;;;;;;;;X;;;;;X;;Förvärvsarbe;Hälso-, sjukvård, socialvård;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;De flesta vet eller förstår det;Ja;;;;X;Ja, någon/några har varit ovänliga eller fientliga;Jag har diskriminerats;;;;;X;79;Har svarat i fritextfältet;Ja;Nej;Ja, en psykiater;Ja;;X;;;;;Av någon eller några men inte av andra;Ja, jag har känt mig nedstämd (deprimerad);Ja
478;Man;58;Fler än 150000 invånare;14;Ja;16;11;Ja;18;Homosexuell;Ja;16;Nej;Nej;Ja, det gör jag under långa perioder;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;16;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Nej;Ja;Ja;Nej;Nej;Nej;Nej;Ja;Nej;Nej;Nej;Nej;Ja;79;Flera vet eller förstår det;Ja, för flera bakanta;;;;;X;;;;;;;;;;;;;X;;;;;;;;;;Förvärvsarbe;"Hantverk, ""gestaltande"" yrken (frisör), tv/cykelreparationer";Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Ingen arbetskamrat (studiekamrat) vet eller förstår det;Ja;X;;;;Ingen känner till min sexuella inriktning;Jag har diskriminerats;X;;;;;78;Har svarat i fritextfältet;Nej;;Nej;;;;;;;;;Ja, jag har varit ängslig och orolig;Ja
479;Man;45;Fler än 150000 invånare;13;Ja;14;16;Ja;18;Homosexuell;Ja;18;Ja, det har jag gjort men jag önskar det inte nu;Nej;Ja, men bara vid enstaka tillfällen;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;18;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Ja;Nej;Nej;Nej;Ja;;Ja;Nej;Ja, jag har tidigare sammanbott med en man (män);Nej;Nej;;Flera vet eller förstår det;Ja, för flera bakanta;;X;;;;;;;;;;;;;;;;;;X;;;;;;;;Förvärvsarbe;Annan service (städning);Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Någon enstaka vet eller förstår det;Ja;;;X;;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Ja, jag har känt mig nedstämd (deprimerad);Ja
480;Man;55;Fler än 150000 invånare;12;Ja;13;15;Ja;24;Homosexuell;Ja;24;Ja, jag önskar nu att jag vore (helt) heterosexuell;Nej;Nej, inte nuförtiden;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;24;Det är svårt att få tillfälle att lära känna homo/bisexuella personer;Nej;Ja;Nej;Nej;Nej;Nej;Ja;;Inget svar;Nej;Nej;Nej;Nej;;Någon enstaka vet eller förstår det;Ja, för flera bakanta;;X;X;;;;;;;;;;;;;;;;;X;;;;;;;;Studerande;;;;Ingen arbetskamrat (studiekamrat) vet eller förstår det;Ja;;;X;;Ingen känner till min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Ja, jag har känt mig nedstämd (deprimerad) samt varit ängslig och orolig;Ja
481;Man;42;Fler än 150000 invånare;9;Ja;14;19;Ja;23;Homosexuell;Ja;36;Nej;Ja;Ja, det gör jag under långa perioder;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;23;Det är den största svårigheten man har som homo/bisexuell;Ja;Ja;Ja;Ja;Nej;Nej;Nej;Ja;Nej;Ja, jag har tidigare sammanbott med en kvinna (kvinnor);Nej;Ja;Nej;;Någon enstaka vet eller förstår det;Ja, för flera bakanta;;;;X;;X;;;;;X;X;;;;;;X;;;;;;X;X;;;Förvärvsarbe;Undervisning, forskning;Arbetsledande funktion;Eftergymnasial utbildning (universitet osv);Någon enstaka vet eller förstår det;Ja;X;;X;;Ja, någon/några har varit ovänliga eller fientliga;Nej; ; ; ; ; ;;;Ja;Ja;Nej;;;;;;;;;Ja, jag har känt mig nedstämd (deprimerad) samt varit ängslig och orolig;Ja
482;Man;42;Fler än 150000 invånare;8;Ja;16;15;Inget svar;0;Homosexuell;Ja;16;Ja, det har jag gjort men jag önskar det inte nu;Ja;Nej, inte nuförtiden;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;16;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Ja;Nej;Nej;Nej;Nej;Ja;Ja;Nej;Nej;Nej;Nej;;Jag vet inte om någon förstår det;Nej;X;;;;;;;;;;;;;;;;;;;;;;;;;X;;Förvärvsarbe;Undervisning, forskning;Arbetsledande funktion;Eftergymnasial utbildning (universitet osv);Ingen arbetskamrat (studiekamrat) vet eller förstår det;Ja;;;X;;Ingen känner till min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Ja, jag har varit ängslig och orolig;Ja
